name,rel_date,genres,rating,run_length,num_raters
Tangled,2010-11-24,Comedy,7.7,100,393363
The Terminal,2004-06-18,"Comedy, Romance",7.4,128,393039
We're the Millers,2013-08-07,Comedy,7.0,110,392433
Back to the Future Part III,1990-05-25,Comedy,7.4,118,389841
The 40-Year-Old Virgin,2005-08-19,"Comedy, Romance",7.1,116,384072
In Bruges,2008-02-29,Comedy,7.9,107,381466
Midnight in Paris,2011-06-10,"Comedy, Romance",7.7,94,376680
This Is the End,2013-06-12,Comedy,6.6,107,376448
Tropic Thunder,2008-08-13,Comedy,7.0,107,369967
Wreck-It Ralph,2012-11-02,Comedy,7.7,101,369121
American Pie,1999-07-09,Comedy,7.0,95,368148
Scott Pilgrim vs. the World,2010-08-13,Comedy,7.5,112,364286
Bruce Almighty,2003-05-23,Comedy,6.8,101,363633
Brave,2012-06-22,Comedy,7.1,93,361984
Despicable Me 2,2013-07-03,Comedy,7.3,98,361446
Aladdin,1992-11-25,Comedy,8.0,90,361080
The Devil Wears Prada,2006-06-30,Comedy,6.9,109,359709
Monty Python's Life of Brian,1979-08-17,Comedy,8.1,94,356682
Madagascar,2005-05-27,Comedy,6.9,86,355425
Cars,2006-06-09,Comedy,7.1,117,355079
Easy A,2010-09-17,"Comedy, Romance",7.0,92,348230
Dumb and Dumber,1994-12-16,Comedy,7.3,107,345454
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-03,Comedy,7.3,84,345007
Ghostbusters,1984-06-08,Comedy,7.8,105,344766
The Big Short,2015-12-23,Comedy,7.8,130,344748
The Breakfast Club,1985-02-15,Comedy,7.9,97,344566
Knocked Up,2007-06-01,"Comedy, Romance",6.9,129,343791
Knives Out,2019-11-27,Comedy,7.9,130,342300
22 Jump Street,2014-06-13,Comedy,7.0,112,337286
The Mask,1994-07-29,Comedy,6.9,101,335546
Men in Black II,2002-07-03,Comedy,6.2,88,335021
Green Book,2018-11-16,Comedy,8.2,130,332517
Friends with Benefits,2011-07-22,"Comedy, Romance",6.5,109,332366
3 Idiots,2009-12-25,Comedy,8.4,170,328127
Yes Man,2008-12-19,"Comedy, Romance",6.8,104,327950
Men in Black 3,2012-05-25,Comedy,6.8,106,327676
Wedding Crashers,2005-07-15,"Comedy, Romance",6.9,119,326314
Anchorman: The Legend of Ron Burgundy,2004-07-09,Comedy,7.2,94,322831
Pulp Fiction,1994-10-14,"Crime, Drama",8.9,154,1767445
The Godfather,1972-03-24,"Crime, Drama",9.2,175,1558661
Se7en,1995-09-22,"Crime, Drama, Mystery",8.6,127,1390231
The Silence of the Lambs,1991-02-14,"Crime, Drama, Thriller",8.6,118,1223451
The Departed,2006-10-06,"Crime, Drama, Thriller",8.5,151,1150788
The Green Mile,1999-12-10,"Crime, Drama, Fantasy",8.6,189,1101707
The Godfather: Part II,1974-12-18,"Crime, Drama",9.0,202,1089268
The Usual Suspects,1995-08-16,"Crime, Mystery, Thriller",8.5,106,961807
Reservoir Dogs,1992-09-02,"Crime, Drama, Thriller",8.3,99,889962
No Country for Old Men,2007-11-21,"Crime, Drama, Thriller",8.1,122,823136
Joker,2019-10-04,"Crime, Drama, Thriller",8.5,122,822351
Snatch,2001-01-19,"Comedy, Crime",8.3,102,761662
A Clockwork Orange,1972-02-02,"Crime, Drama, Sci-Fi",8.3,136,735080
Sin City,2005-04-01,"Crime, Thriller",8.0,124,731417
Scarface,1983-12-09,"Crime, Drama",8.3,170,715023
The Big Lebowski,1998-03-06,"Comedy, Crime, Sport",8.1,117,705941
Taxi Driver,1976-02-09,"Crime, Drama",8.3,114,696631
City of God,2004-02-13,"Crime, Drama",8.6,130,681961
12 Angry Men,1957-04-10,"Crime, Drama",8.9,96,661761
Fargo,1996-04-05,"Crime, Drama, Thriller",8.1,98,596614
Now You See Me,2013-05-31,"Crime, Mystery, Thriller",7.3,115,581643
Prisoners,2013-09-20,"Crime, Drama, Mystery",8.1,153,575034
Heat,1995-12-15,"Crime, Drama, Thriller",8.2,170,557728
Drive,2011-09-16,"Crime, Drama",7.8,100,554576
L.A. Confidential,1997-09-19,"Crime, Drama, Mystery",8.2,138,518387
Ocean's Eleven,2001-12-07,"Crime, Thriller",7.7,116,500919
The Hateful Eight,2015-12-30,"Crime, Drama, Mystery",7.8,168,493749
American Psycho,2000-04-14,"Comedy, Crime, Drama",7.6,101,467924
Casino,1995-11-22,"Crime, Drama",8.2,178,448054
Nightcrawler,2014-10-31,"Crime, Drama, Thriller",7.9,117,443660
American Hustle,2013-12-20,"Crime, Drama",7.2,138,438125
Zodiac,2007-03-02,"Crime, Drama, Mystery",7.7,157,436889
Baby Driver,2017-06-28,"Action, Crime, Drama",7.6,113,416067
Horrible Bosses,2011-07-08,"Comedy, Crime",6.9,98,413881
Crash,2005-05-06,"Crime, Drama, Thriller",7.7,112,413651
Mystic River,2003-10-15,"Crime, Drama, Mystery",7.9,138,408998
The Girl with the Dragon Tattoo,2011-12-21,"Crime, Drama, Mystery",7.8,158,408988
"Three Billboards Outside Ebbing, Missouri",2017-12-01,"Comedy, Crime, Drama",8.2,115,404402
Gangs of New York,2002-12-20,"Crime, Drama",7.5,167,394333
We're the Millers,2013-08-07,"Comedy, Crime",7.0,110,392362
In Bruges,2008-02-29,"Comedy, Crime, Drama",7.9,107,381417
Training Day,2001-10-05,"Crime, Drama, Thriller",7.7,122,378412
Sicario,2015-10-02,"Action, Crime, Drama",7.6,121,356962
Wanted,2008-06-27,"Action, Crime, Fantasy",6.7,110,353620
Ocean's Twelve,2004-12-10,"Crime, Thriller",6.5,125,349317
The Godfather: Part III,1990-12-25,"Crime, Drama",7.6,162,347672
John Wick: Chapter 2,2017-02-10,"Action, Crime, Thriller",7.5,122,347579
Fast Five,2011-04-29,"Action, Adventure, Crime",7.3,130,345450
Face_Off,1997-06-27,"Action, Crime, Sci-Fi",7.3,138,341451
Knives Out,2019-11-27,"Comedy, Crime, Drama",7.9,130,341415
The Town,2010-09-17,"Crime, Drama, Thriller",7.5,125,341073
The Fast and the Furious,2001-06-22,"Action, Crime, Thriller",6.8,106,338840
22 Jump Street,2014-06-13,"Action, Comedy, Crime",7.0,112,337234
The Italian Job,2003-05-30,"Action, Crime, Thriller",7.0,111,335566
The Mask,1994-07-29,"Action, Comedy, Crime",6.9,101,335452
Inside Man,2006-03-24,"Crime, Drama, Mystery",7.6,129,329265
The Equalizer,2014-09-26,"Action, Crime, Thriller",7.2,132,322279
Man on Fire,2004-04-23,"Action, Crime, Drama",7.7,146,322039
Ocean's Thirteen,2007-06-08,"Action, Crime, Thriller",6.9,122,312811
Pineapple Express,2008-08-06,"Action, Comedy, Crime",6.9,111,308854
Jackie Brown,1997-12-25,"Crime, Drama, Thriller",7.5,154,306877
Burn After Reading,2008-09-12,"Comedy, Crime, Drama",7.0,96,301462
Once Upon a Time in America,1984-06-01,"Crime, Drama",8.4,229,299388
Lucky Number Slevin,2006-04-07,"Crime, Drama, Mystery",7.7,110,295883
Lord of War,2005-09-16,"Action, Crime, Drama",7.6,122,288544
Deja Vu,2006-11-22,"Action, Crime, Sci-Fi",7.0,126,287330
To Kill a Mockingbird,1963-03-16,"Crime, Drama",8.2,129,287100
The Hangover Part III,2013-05-23,"Comedy, Crime",5.8,100,286488
RED,2010-10-15,"Action, Comedy, Crime",7.0,111,282437
3:10 to Yuma,2007-09-07,"Action, Crime, Drama",7.7,122,281948
The Transporter,2002-10-11,"Action, Crime, Thriller",6.8,92,279981
From Dusk Till Dawn,1996-01-19,"Action, Crime, Horror",7.2,108,279303
"O Brother, Where Art Thou?",2001-02-02,"Adventure, Comedy, Crime",7.7,107,277150
The Untouchables,1987-06-03,"Crime, Drama, Thriller",7.9,119,270871
Con Air,1997-06-06,"Action, Crime, Thriller",6.9,115,269643
Batman Returns,1992-06-19,"Action, Crime, Fantasy",7.0,126,267156
The Nice Guys,2016-05-20,"Action, Comedy, Crime",7.4,116,266631
Law Abiding Citizen,2009-10-16,"Action, Crime, Drama",7.4,109,265136
The Shawshank Redemption,1994-10-14,Drama,9.3,142,2258845
Fight Club,1999-10-15,Drama,8.8,139,1794454
Forrest Gump,1994-07-06,"Drama, Romance",8.8,142,1741097
Django Unchained,2012-12-25,"Drama, Western",8.4,165,1307059
Saving Private Ryan,1998-07-24,"Drama, War",8.6,169,1194194
The Prestige,2006-10-20,"Drama, Mystery, Sci-Fi",8.5,130,1144513
American Beauty,1999-10-01,Drama,8.3,122,1043085
Titanic,1997-12-19,"Drama, Romance",7.8,194,1017237
American History X,1998-11-20,Drama,8.5,119,1007450
The Truman Show,1998-06-05,"Comedy, Drama, Sci-Fi",8.1,103,901062
The Sixth Sense,1999-08-06,"Drama, Mystery, Thriller",8.1,107,888920
One Flew Over the Cuckoo's Nest,1975-11-19,Drama,8.7,133,884818
Eternal Sunshine of the Spotless Mind,2004-03-19,"Drama, Romance, Sci-Fi",8.3,108,882495
The Shining,1980-06-13,"Drama, Horror",8.4,146,860290
Good Will Hunting,1998-01-09,"Drama, Romance",8.3,126,830139
Gone Girl,2014-10-03,"Drama, Mystery, Thriller",8.1,149,825450
Gravity,2013-10-04,"Drama, Sci-Fi, Thriller",7.7,91,751305
Requiem for a Dream,2000-12-15,Drama,8.3,102,743198
Donnie Darko,2002-01-30,"Drama, Mystery, Sci-Fi",8.0,113,724910
Gran Torino,2009-01-09,Drama,8.1,116,703113
Whiplash,2015-02-20,"Drama, Music",8.5,106,683157
Black Swan,2010-12-17,"Drama, Thriller",8.0,108,682523
Full Metal Jacket,1987-07-10,"Drama, War",8.3,116,652861
Silver Linings Playbook,2012-12-25,"Comedy, Drama, Romance",7.7,122,647995
Trainspotting,1996-08-09,Drama,8.1,93,620080
Million Dollar Baby,2005-01-28,"Drama, Sport",8.1,132,618903
Pan's Labyrinth,2007-01-19,"Drama, Fantasy, War",8.2,118,603269
Life Is Beautiful,1999-02-12,"Comedy, Drama, Romance",8.6,116,600493
Apocalypse Now,1979-08-15,"Drama, Mystery, War",8.4,147,585989
The Curious Case of Benjamin Button,2008-12-25,"Drama, Fantasy, Romance",7.8,166,572217
Arrival,2016-11-11,"Drama, Mystery, Sci-Fi",7.9,116,569760
Birdman or (The Unexpected Virtue of Ignorance),2014-11-14,"Comedy, Drama",7.7,119,561800
Her,2014-01-10,"Drama, Romance, Sci-Fi",8.0,126,518282
Cast Away,2000-12-22,"Adventure, Drama, Romance",7.8,143,506369
Casablanca,1943-01-23,"Drama, Romance, War",8.5,102,506224
The Notebook,2004-06-25,"Drama, Romance",7.8,123,503872
There Will Be Blood,2008-01-25,Drama,8.2,158,498312
Once Upon a Time... in Hollywood,2019-07-26,"Comedy, Drama",7.7,161,488015
Blood Diamond,2006-12-08,"Adventure, Drama, Thriller",8.0,143,486637
Groundhog Day,1993-02-12,"Comedy, Fantasy, Romance",8.0,101,566223
Zombieland,2009-10-02,"Adventure, Comedy, Fantasy",7.6,88,507361
Monty Python and the Holy Grail,1979-12-06,"Adventure, Comedy, Fantasy",8.2,91,488482
Pirates of the Caribbean: On Stranger Tides,2011-05-20,"Action, Adventure, Fantasy",6.6,136,469914
The Hobbit: The Battle of the Five Armies,2014-12-17,"Adventure, Fantasy",7.4,144,461617
Harry Potter and the Deathly Hallows: Part 1,2010-11-19,"Adventure, Fantasy",7.7,146,459135
Edward Scissorhands,1990-12-14,"Drama, Fantasy, Romance",7.9,105,434894
Hancock,2008-07-02,"Action, Fantasy",6.4,92,434772
Twilight,2008-11-21,"Drama, Fantasy, Romance",5.2,122,413276
Big Fish,2004-01-09,"Adventure, Drama, Fantasy",8.0,125,406042
Fantastic Beasts and Where to Find Them,2016-11-18,"Adventure, Fantasy",7.3,132,395319
It's a Wonderful Life,1947-01-07,"Drama, Fantasy",8.6,130,385375
The Mummy,1999-05-07,"Action, Adventure, Fantasy",7.0,124,382315
The Princess Bride,1987-10-09,"Adventure, Fantasy",8.1,98,382045
Midnight in Paris,2011-06-10,"Comedy, Fantasy, Romance",7.7,94,376575
Alice in Wonderland,2010-03-05,"Adventure, Fantasy",6.4,108,374817
The Wizard of Oz,1939-08-25,"Adventure, Fantasy",8.0,102,364936
Scott Pilgrim vs. the World,2010-08-13,"Action, Comedy, Fantasy",7.5,112,364197
Bruce Almighty,2003-05-23,"Comedy, Drama, Fantasy",6.8,101,363587
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-09,"Adventure, Fantasy",6.9,143,356904
The Shape of Water,2017-12-22,"Adventure, Drama, Fantasy",7.3,123,353658
The Illusionist,2006-09-01,"Drama, Fantasy, History",7.6,110,349169
Ghostbusters,1984-06-08,"Action, Comedy, Fantasy",7.8,105,344694
Aquaman,2018-12-21,"Action, Adventure, Fantasy",7.0,143,341895
Star Wars: Episode IX - The Rise of Skywalker,2019-12-20,"Action, Adventure, Fantasy",6.7,142,337831
Sleepy Hollow,1999-11-19,"Fantasy, Horror, Mystery",7.3,105,320861
Fantastic Four,2005-07-08,"Action, Adventure, Fantasy",5.7,106,306644
Being John Malkovich,1999-12-03,"Comedy, Drama, Fantasy",7.7,113,301714
Hellboy,2004-04-02,"Action, Fantasy, Horror",6.8,122,301510
Click,2006-06-23,"Comedy, Drama, Fantasy",6.4,107,298607
Hugo,2011-11-23,"Drama, Fantasy",7.5,126,297933
Constantine,2005-02-18,"Action, Fantasy, Horror",7.0,121,296689
The Mummy Returns,2001-05-04,"Action, Adventure, Fantasy",6.3,130,295189
About Time,2013-11-08,"Comedy, Drama, Fantasy",7.8,123,287246
The Secret Life of Walter Mitty,2013-12-25,"Comedy, Drama, Fantasy",7.3,114,286991
Liar Liar,1997-03-21,"Comedy, Fantasy",6.9,86,274268
Prince of Persia: The Sands of Time,2010-05-28,"Action, Adventure, Fantasy",6.6,116,266583
Clash of the Titans,2010-04-02,"Action, Adventure, Fantasy",5.8,106,265931
Beauty and the Beast,2017-03-17,Fantasy,7.1,129,261369
Kong: Skull Island,2017-03-10,"Action, Adventure, Fantasy",6.6,118,259866
The Twilight Saga: New Moon,2009-11-20,"Adventure, Drama, Fantasy",4.7,130,258910
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-26,"Action, Adventure, Fantasy",6.6,129,251787
1408,2007-06-22,"Fantasy, Horror, Mystery",6.8,104,250909
Beetlejuice,1988-03-30,"Comedy, Fantasy",7.5,92,249689
Stardust,2007-08-10,"Adventure, Fantasy",7.6,127,248403
Underworld,2003-09-19,"Action, Fantasy, Thriller",7.0,121,248222
Fantastic 4: Rise of the Silver Surfer,2007-06-15,"Action, Adventure, Fantasy",5.6,92,246767
Vanilla Sky,2001-12-14,"Fantasy, Mystery, Romance",6.9,136,243020
Dark Shadows,2012-05-11,"Comedy, Fantasy, Horror",6.2,113,241602
Van Helsing,2004-05-07,"Action, Adventure, Fantasy",6.1,131,239437
Warcraft,2016-06-10,"Action, Adventure, Fantasy",6.8,123,236996
Sucker Punch,2011-03-25,"Action, Adventure, Fantasy",6.0,110,226057
The Twilight Saga: Breaking Dawn - Part 2,2012-11-16,"Adventure, Drama, Fantasy",5.5,115,224813
The Twilight Saga: Eclipse,2010-06-30,"Adventure, Drama, Fantasy",5.0,124,221496
Ender's Game,2013-11-01,"Action, Adventure, Fantasy",6.6,114,219357
Ghost Rider,2007-02-16,"Action, Fantasy, Thriller",5.2,110,218901
The Twilight Saga: Breaking Dawn - Part 1,2011-11-18,"Adventure, Drama, Fantasy",4.9,117,217803
Stranger Than Fiction,2006-11-10,"Comedy, Drama, Fantasy",7.5,113,214510
Elf,2003-11-07,"Comedy, Fantasy",6.9,97,210512
Aladdin,2019-05-24,"Adventure, Fantasy",7.0,128,210488
Mr. Nobody,2013-09-26,"Drama, Fantasy, Romance",7.8,141,210310
Troy,2004-05-14,"Drama, History",7.2,163,476975
Black Hawk Down,2002-01-18,"Drama, History, War",7.7,144,356185
Pearl Harbor,2001-05-25,"Action, Drama, History",6.2,183,305503
Les Misérables,2012-12-25,"Drama, History",7.6,158,300852
Gone with the Wind,1940-01-17,"Drama, History, Romance",8.1,238,281414
Bridge of Spies,2015-10-16,"Drama, History, Thriller",7.6,142,278999
Zero Dark Thirty,2013-01-11,"Drama, History, Thriller",7.4,157,264555
Apollo 13,1995-06-30,"Adventure, Drama, History",7.6,140,260497
The Patriot,2000-06-28,"Action, Drama, History",7.2,165,249168
Enemy at the Gates,2001-03-16,"Drama, History, War",7.6,131,236660
21,2008-03-28,"Crime, Drama, History",6.8,123,224589
Valkyrie,2008-12-25,"Drama, History, Thriller",7.1,121,223620
The Great Escape,1963-07-04,"Adventure, Drama, History",8.2,172,217996
Ben-Hur,1960-01-29,"Adventure, Drama, History",8.1,212,213444
Shakespeare in Love,1999-01-08,"Comedy, Drama, History",7.1,123,209979
Munich,2006-01-06,"Action, Drama, History",7.5,164,207019
The Impossible,2013-01-04,"Drama, History, Thriller",7.6,114,190768
Deepwater Horizon,2016-09-30,"Action, Drama, History",7.1,107,145401
Barry Lyndon,1975-12-18,"Adventure, Drama, History",8.1,185,143733
JFK,1991-12-20,"Drama, History, Thriller",8.0,189,137425
Cold Mountain,2003-12-25,"Adventure, Drama, History",7.2,154,137401
Defiance,2009-01-16,"Action, Drama, History",7.2,137,135323
We Were Soldiers,2002-03-01,"Action, Drama, History",7.2,138,127187
The Monuments Men,2014-02-07,"Comedy, Drama, History",6.1,118,122173
Glory,1990-02-16,"Biography, Drama, History",7.8,122,117966
The 13th Warrior,1999-08-27,"Action, Adventure, History",6.6,102,114167
Empire of the Sun,1987-12-25,"Action, Drama, History",7.7,153,112275
Rang De Basanti,2006-01-26,"Comedy, Drama, History",8.2,167,107678
The Way Back,2011-01-21,"Adventure, Drama, History",7.3,133,107455
Across the Universe,2007-10-12,"Drama, Fantasy, History",7.3,133,104638
The Queen,2006-11-17,"Biography, Drama, History",7.3,103,101904
The Other Boleyn Girl,2008-02-29,"Biography, Drama, History",6.7,115,101416
Frost_Nixon,2009-01-23,"Biography, Drama, History",7.7,122,100750
All the President's Men,1976-04-09,"Biography, Drama, History",8.0,138,98972
Marie Antoinette,2006-10-20,"Biography, Drama, History",6.4,123,97923
The Good Shepherd,2006-12-22,"Drama, History, Thriller",6.7,167,96881
United 93,2006-04-28,"Drama, History, Sci-Fi",7.5,111,96591
Silence,2017-01-13,"Drama, History",7.2,161,96094
"Good Night, and Good Luck.",2005-11-04,"Biography, Drama, History",7.4,93,92714
The Last Emperor,1988-04-15,"Biography, Drama, History",7.7,163,91046
Elizabeth,1999-02-19,"Biography, Drama, History",7.4,124,90737
Mississippi Burning,1989-01-27,"Crime, Drama, History",7.8,128,84598
The Grapes of Wrath,1940-03-15,"Drama, History",8.0,129,84223
Selma,2015-01-09,"Biography, Drama, History",7.5,128,83285
Malcolm X,1992-11-18,"Biography, Drama, History",7.7,202,82521
The New World,2006-01-20,"Biography, Drama, History",6.7,135,81466
The Death of Stalin,2018-03-09,"Comedy, Drama, History",7.2,107,80253
Centurion,2010-07-30,"Action, Drama, History",6.4,97,76569
The Duchess,2008-10-10,"Biography, Drama, History",6.9,110,76558
World Trade Center,2006-08-09,"Drama, Fantasy, History",5.9,129,76405
The King,2019-11-01,"Biography, Drama, History",7.2,140,76205
The Lost City of Z,2017-04-21,"Biography, Drama, History",6.6,141,75131
Jackie,2016-12-02,"Biography, Drama, History",6.7,100,70888
The Water Diviner,2015-04-17,"Drama, History, War",7.0,111,69915
Amistad,1997-12-25,"Biography, Drama, History",7.3,155,69328
The White Ribbon,2010-03-05,"Drama, History, Mystery",7.8,144,66893
Elizabeth: The Golden Age,2007-10-12,"Biography, Drama, History",6.8,114,65530
Seabiscuit,2003-07-25,"Drama, History, Sport",7.3,140,65166
Child 44,2016-05-09,"Crime, Drama, History",6.5,137,63768
12 Strong,2018-01-19,"Action, Drama, History",6.6,130,63442
Quiz Show,1994-10-07,"Biography, Drama, History",7.5,133,63232
The Finest Hours,2016-01-29,"Action, Drama, History",6.8,117,59961
K-19: The Widowmaker,2002-07-19,"Drama, History, Thriller",6.7,138,58258
The Young Victoria,2010-01-08,"Biography, Drama, History",7.3,105,56451
Conquest 1453,2012-04-25,"Action, Drama, History",6.7,162,56021
The Mission,1986-10-31,"Adventure, Drama, History",7.4,125,54283
Thirteen Days,2001-01-12,"Drama, History, Thriller",7.3,145,52807
Woman in Gold,2015-04-10,"Biography, Drama, History",7.3,109,52175
Macbeth,2015-12-11,"Drama, History, War",6.6,113,51643
Battleship Potemkin,1925-12-24,"Drama, History, Thriller",8.0,66,51403
Airlift,2016-01-22,"Drama, History",8.0,130,51394
The Longest Day,1962-10-04,"Action, Drama, History",7.8,178,51178
Midway,2019-11-08,"Action, Drama, History",6.7,138,50395
A Bridge Too Far,1977-06-15,"Drama, History, War",7.4,175,50195
The Killing Fields,1985-02-01,"Biography, Drama, History",7.8,141,50036
The Flowers of War,2011-12-16,"Drama, History, Romance",7.6,146,48360
Hotel Mumbai,2019-03-29,"Action, Drama, History",7.6,123,47726
Miracle,2004-02-06,"Biography, Drama, History",7.5,135,46453
Detroit,2017-08-04,"Crime, Drama, History",7.3,143,45804
The Passion of Joan of Arc,1928-10-25,"Biography, Drama, History",8.1,114,45200
Cold War,2018-06-08,"Drama, History, Music",7.6,89,44833
Alien,1979-06-22,"Horror, Sci-Fi",8.4,117,762793
Psycho,1960-09-08,"Horror, Mystery, Thriller",8.5,109,580951
Shaun of the Dead,2004-09-24,"Comedy, Horror",7.9,99,499244
Get Out,2017-02-24,"Horror, Mystery, Thriller",7.7,104,465577
It,2017-09-08,Horror,7.3,135,437678
The Conjuring,2013-07-19,"Horror, Mystery, Thriller",7.5,112,427067
Split,2017-01-20,"Horror, Thriller",7.3,117,404539
A Quiet Place,2018-04-06,"Drama, Horror, Sci-Fi",7.5,90,385782
Saw,2004-10-29,"Horror, Mystery",7.6,103,369825
28 Days Later...,2003-06-27,"Drama, Horror, Sci-Fi",7.6,113,367391
Cloverfield,2008-01-18,"Action, Adventure, Horror",7.0,85,365910
The Cabin in the Woods,2012-04-13,Horror,7.0,95,363506
The Thing,1982-06-25,"Horror, Mystery, Sci-Fi",8.1,109,356786
The Exorcist,1973-12-26,Horror,8.0,122,352076
Sweeney Todd: The Demon Barber of Fleet Street,2007-12-21,"Drama, Horror",7.3,116,335791
The Others,2001-08-10,"Horror, Mystery, Thriller",7.6,104,328624
The Ring,2002-10-18,"Horror, Mystery",7.1,115,313252
Interview with the Vampire: The Vampire Chronicles,1994-11-11,"Drama, Horror",7.6,123,287602
10 Cloverfield Lane,2016-03-11,"Drama, Horror, Mystery",7.2,103,280919
Scream,1996-12-20,"Horror, Mystery",7.2,111,276753
The Mist,2007-11-21,"Horror, Sci-Fi",7.1,126,274365
Alien 3,1992-05-22,"Action, Horror, Sci-Fi",6.5,114,269938
Insidious,2011-04-01,"Horror, Mystery, Thriller",6.8,103,269839
Annihilation,2018-02-23,"Adventure, Drama, Horror",6.9,115,267574
Bird Box,2018-12-21,"Drama, Horror, Sci-Fi",6.6,124,262311
28 Weeks Later,2007-05-11,"Horror, Sci-Fi",7.0,100,253591
Alien: Covenant,2017-05-19,"Horror, Sci-Fi, Thriller",6.4,122,245959
Resident Evil,2002-03-15,"Action, Horror, Sci-Fi",6.7,100,242106
Dawn of the Dead,2004-03-19,"Action, Horror",7.3,101,229395
Saw II,2005-10-28,"Horror, Mystery",6.6,93,227842
The Blair Witch Project,1999-07-30,"Horror, Mystery",6.5,81,226133
Final Destination,2000-03-17,"Horror, Thriller",6.7,98,223423
Alien: Resurrection,1997-11-26,"Action, Horror, Sci-Fi",6.2,109,222998
Pitch Black,2000-02-18,"Action, Horror, Sci-Fi",7.1,109,221434
Halloween,1978-10-27,"Horror, Thriller",7.8,91,220718
Paranormal Activity,2009-10-16,"Horror, Mystery, Thriller",6.3,86,216058
The Conjuring 2,2016-06-10,"Horror, Mystery, Thriller",7.3,134,215863
Warm Bodies,2013-02-01,"Comedy, Horror, Romance",6.9,98,215658
Hereditary,2018-06-08,"Drama, Horror, Mystery",7.3,127,214947
Sinister,2012-10-12,"Horror, Mystery, Thriller",6.8,110,212002
Silent Hill,2006-04-21,Horror,6.5,125,210033
Don't Breathe,2016-08-26,"Crime, Horror, Thriller",7.1,88,209689
Us,2019-03-22,"Horror, Mystery, Thriller",6.9,116,204733
It Follows,2015-03-13,"Horror, Mystery, Thriller",6.8,100,201008
Life,2017-03-24,"Horror, Sci-Fi, Thriller",6.6,104,199775
A Nightmare on Elm Street,1984-11-16,Horror,7.5,91,198628
The Purge,2013-06-07,"Horror, Thriller",5.7,85,197141
The Descent,2006-08-04,"Adventure, Horror, Thriller",7.2,99,195614
Blade II,2002-03-22,"Action, Fantasy, Horror",6.7,117,195387
Hansel & Gretel: Witch Hunters,2013-01-25,"Action, Fantasy, Horror",6.1,88,191273
Gremlins,1984-06-08,"Comedy, Fantasy, Horror",7.3,106,190570
The Babadook,2014-11-28,"Drama, Horror",6.8,94,188571
Orphan,2009-07-24,"Horror, Mystery, Thriller",6.9,123,186072
The Witch,2016-02-19,"Drama, Horror, Mystery",6.9,92,185878
Bram Stoker's Dracula,1992-11-13,Horror,7.4,128,185695
Rosemary's Baby,1968-10-17,"Drama, Horror",8.0,137,185587
Drag Me to Hell,2009-05-29,"Horror, Thriller",6.5,99,184255
It Chapter Two,2019-09-06,"Drama, Fantasy, Horror",6.6,169,183539
Resident Evil: Apocalypse,2004-09-10,"Action, Horror, Sci-Fi",6.2,94,182625
Mother!,2017-09-15,"Drama, Horror, Mystery",6.6,121,182167
Alien vs. Predator,2004-08-13,"Action, Adventure, Horror",5.6,101,180961
The Evil Dead,1983-04-15,Horror,7.5,85,180957
Resident Evil: Extinction,2007-09-21,"Action, Horror, Sci-Fi",6.3,94,180099
Grindhouse,2007-04-06,"Action, Horror, Thriller",7.5,191,175669
Saw III,2006-10-27,"Horror, Mystery, Thriller",6.2,108,174387
The Woman in Black,2012-02-03,"Drama, Fantasy, Horror",6.4,95,171207
Pi,1998-07-10,"Drama, Horror, Mystery",7.4,84,166806
Hostel,2006-01-06,Horror,5.9,94,165882
Mama,2013-01-18,"Horror, Thriller",6.2,100,165839
The Birds,1963-03-29,"Drama, Horror, Mystery",7.7,119,165748
Midsommar,2019-07-03,"Drama, Horror, Mystery",7.1,148,165346
Carrie,1976-11-16,Horror,7.4,98,162668
Tucker and Dale vs Evil,2010-12-09,"Comedy, Horror",7.5,89,161404
30 Days of Night,2007-10-19,"Action, Horror, Thriller",6.6,113,161126
Resident Evil: Afterlife,2010-09-10,"Action, Adventure, Horror",5.8,96,159189
Army of Darkness,1993-02-19,"Comedy, Horror",7.5,81,158954
The Hills Have Eyes,2006-03-10,"Horror, Thriller",6.4,107,155206
The Fly,1986-08-15,"Drama, Horror, Sci-Fi",7.6,96,154294
Event Horizon,1997-08-15,"Horror, Sci-Fi, Thriller",6.7,96,153203
Evil Dead,2013-04-05,"Fantasy, Horror, Thriller",6.5,91,153169
Insidious: Chapter 2,2013-09-13,"Horror, Mystery, Thriller",6.6,106,150300
Final Destination 2,2003-01-31,"Horror, Thriller",6.2,90,148408
What We Do in the Shadows,2015-02-13,"Comedy, Horror",7.7,86,148076
Abraham Lincoln: Vampire Hunter,2012-06-22,"Action, Fantasy, Horror",5.9,105,147007
Scary Movie 2,2001-07-04,"Comedy, Horror",5.3,83,146277
From Hell,2001-10-19,"Horror, Mystery, Thriller",6.8,122,144083
The Orphanage,2008-01-11,"Drama, Fantasy, Horror",7.4,105,143875
Train to Busan,2016-10-21,"Action, Horror, Thriller",7.5,118,143773
Evil Dead II,1987-03-13,"Comedy, Horror",7.8,84,143769
Underworld Awakening,2012-01-20,"Action, Fantasy, Horror",6.4,88,143381
La La Land,2016-12-25,"Comedy, Drama, Music",8.0,128,482858
